qindex,ASSIM-N_I,MADDA_I,SHAMS_I,SIL_I,ASSIM-M_B,ASSIM-N_B,MADDA_B,CLIT-H_B
52:21:1,2,2,1,1,4,5,4,0
53:23:12,1,1,3,0,2,7,1,0
53:26:17,1,2,2,0,1,5,0,1
53:29:4,0,0,2,0,1,3,0,1
53:31:7,2,2,1,3,1,0,0,0
53:32:21,1,0,0,1,0,4,2,0
73:20:5,0,1,2,1,0,5,0,2
73:20:35,2,0,5,5,2,2,0,0
73:20:65,1,1,4,3,0,6,1,0
74:31:17,0,2,2,2,1,5,2,0
74:31:47,0,1,4,0,0,1,1,0
78:37:9,1,2,2,0,0,6,1,1
78:40:6,2,2,2,2,0,3,1,0
85:7:3,0,0,3,3,0,3,1,1
85:10:8,0,1,2,3,0,2,0,1
89:15:1,2,1,1,1,0,2,3,4
89:24:1,0,2,2,4,0,2,1,0
90:18:3,0,1,2,3,1,5,0,0
103:3:3,0,0,2,4,0,0,0,0
