qindex,ASSIM-N_I,ASSIM_I,MADDA_I,SHAMS_I,MIN-W_I,MIN-Y_I,P_SIL_I,SIL_I,SAKT_I,ASSIM-M_B,ASSIM-N_B,ASSIM_B,MADDA_B,CLIT-H_B,MIN-Y_B,SIL_B
1:1:1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2:1:2,3,0,1,4,0,0,0,0,0,0,2,0,2,0,0,0
2:4:12,2,0,3,1,0,0,0,3,0,0,3,0,1,0,0,0
2:7:11,1,0,0,4,0,0,0,1,0,2,4,0,1,0,0,0
2:10:8,0,0,0,1,0,0,0,4,0,0,2,0,3,0,0,0
2:13:8,0,0,2,3,0,0,0,6,0,0,1,0,5,0,0,0
2:15:3,0,0,2,2,0,0,0,2,0,0,1,1,1,1,0,1
2:17:15,0,0,1,3,0,0,0,0,0,1,8,0,1,0,0,0
2:20:3,0,0,3,3,0,0,0,3,0,1,2,0,2,0,0,0
2:21:8,4,0,4,3,0,0,0,1,0,0,7,0,0,1,0,0
2:23:3,1,0,1,3,0,0,0,5,0,1,7,0,0,1,0,0
2:24:13,0,0,0,1,0,0,0,5,0,0,7,0,1,1,0,0
2:25:30,0,0,0,1,0,1,0,2,0,0,6,0,2,0,0,0
2:26:26,1,0,0,3,0,0,0,0,0,0,5,0,3,5,0,0
2:27:17,1,0,2,2,0,0,0,1,0,1,2,0,1,0,0,0
2:29:14,0,0,2,1,0,0,0,1,0,0,5,0,2,0,0,0
2:30:25,3,0,5,0,0,0,0,1,0,0,1,0,2,0,0,0
2:32:12,3,0,4,1,0,0,0,2,0,2,0,1,3,0,0,0
2:34:7,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0
2:36:5,0,0,0,2,0,0,0,2,0,0,6,0,1,2,0,0
2:38:5,0,0,2,1,0,0,0,4,0,1,2,0,3,0,0,0
2:40:8,1,0,0,0,0,0,0,6,0,0,4,0,3,1,0,0
2:42:6,4,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0
2:46:3,0,0,1,0,0,0,0,3,0,1,5,0,2,0,0,0
2:48:13,2,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0
2:50:6,4,0,0,0,0,0,0,0,0,1,3,0,2,1,0,0
2:53:6,3,0,0,2,0,0,0,2,0,1,1,0,2,2,0,0
2:55:2,3,0,0,3,0,0,0,1,0,1,4,0,0,0,0,0
2:57:10,1,0,0,0,0,0,0,5,0,0,4,0,1,0,0,0
2:59:2,2,0,1,1,0,0,0,3,0,0,1,1,0,1,0,0
2:60:14,1,0,0,1,0,0,0,3,0,0,6,0,0,0,0,0
2:61:16,0,0,2,2,0,0,0,1,0,1,3,0,0,0,0,0
2:61:46,0,0,0,5,0,1,0,5,0,0,1,1,0,0,0,0
2:62:16,1,0,0,1,0,0,0,2,0,2,2,0,1,0,0,0
2:64:7,2,0,0,2,0,0,0,2,0,1,2,0,0,1,0,0
2:67:3,0,0,0,2,0,0,0,3,0,0,4,0,2,2,0,0
2:68:13,0,0,1,1,0,0,0,3,0,0,6,0,0,1,0,0
2:70:2,0,0,1,1,0,0,0,0,0,0,5,0,1,1,0,0
